trackingnum,borough,cd,commdist,type_br,type,priority,agencyacro,agency,need,request,explanation,sitename,address,streetsegment,streetcross1,streetcross2,supporters1,supporters2,parent_tracking_code,agyresponsecat,agyresponse,unique_id,geo_function
211202418E,2,11,311,E, ,18,DOT,841,Sanitation Enforcement,Other traffic improvement requests,Allocate funding for Vision Zero messaging through the banner program on priory corridors and high crash locations.,,,"",,,,,,6,The Borough Commissioner's office has reviewed this request.  This request has been denied. Please contact the B/C's office for further details.,1321,GEOCODE FAILED
209202465E,2,09,309,E,site,65,DOT,841,"Park, buildings, and access improvements","Improve traffic and pedestrian safety, including traffic calming","Motorists constantly speed on Ocean Avenue.
Additional traffic enforcement measures (cameras, speed humps, street markings) are necessary to alleviate this problem.",,Ocean Avenue,Ocean Avenue,,,,,,7,More information is needed from the community board before making a funding decision. The community board should contact the agency.,1226,GEOCODE FAILED
209202466E,2,09,309,E, ,66,DOT,841,NYPD staff and training resources,"Improve traffic and pedestrian safety, including traffic calming","Motorists constantly speed on Parkside Avenue.
Additional traffic enforcement measures (cameras, speed humps, street markings) are necessary to alleviate this problem.",,,"",,,,,,7,More information is needed from the community board before making a funding decision. The community board should contact the agency.,1227,GEOCODE FAILED
209202467E,2,09,309,E, ,67,DOT,841,Environmental protection,"Improve traffic and pedestrian safety, including traffic calming","Additional traffic enforcement measures (cameras, speed humps, street markings) need to be installed at this intersection to reduce congestion and prevent blind spot accidents.",,Parkside Avenue,Parkside Avenue,Flatbush Avenue,Flatbush Avenue,,,,7,More information is needed from the community board before making a funding decision. The community board should contact the agency.,1228,GEOCODE FAILED
209202468E,2,09,309,E, ,68,DOT,841,NYPD staff and training resources,"Improve traffic and pedestrian safety, including traffic calming","Additional traffic enforcement measures (cameras, speed humps, street markings) need to be installed at this intersection to reduce congestion and prevent blind spot accidents.",,Winthrop Street,Winthrop Street,Flatbush Avenue,Flatbush Avenue,,,,7,More information is needed from the community board before making a funding decision. The community board should contact the agency.,1229,GEOCODE FAILED
402202433E,4,02,402,E, ,33,DOE,40,"Park, buildings, and access improvements",Provide more funds for teaching resources such as classroom material,Increase funding for purchase of new schools supplies needed for local schools.,,,"",,,,,,8,Contact the Community Board Unit at OMB for information regarding this request.,2874,GEOCODE FAILED
209202470E,2,09,309,E, ,70,DCP,30,Services for homebound older adults,Study land use and zoning to better provide for future neighborhood needs like affordable housing and job growth,Moratorium for a district-wide spot rezoning.,,,"",,,,,,6,Please contact DCP's Borough Office to discuss this request.,1231,GEOCODE FAILED
209202471E,2,09,309,E, ,71,DOB,810,Transportation infrastructure,Other expense budget request for DOB,New construction is required to enforce rat control measures during construction of a new building.,,,"",,,,,,7,More information is needed from the community board before making a funding decision. The community board should contact the agency.,1232,GEOCODE FAILED
210202406C,2,10,310,C, ,06,DOT,841,Sanitation Enforcement,Reconstruct streets,There are 2 identified street locations in Dyker Heights that may be in need of trench restoration or capital improvement due to recurring street cave-ins and depressions. Bay Ridge Avenue at 12th Avenue and 13th Avenue between Bay Ridge Parkway and 76th Street.,,,"",,,,,,3,"Capital funding constraints, project capacity and City-wide priorities preclude this project at this time.",1245,GEOCODE FAILED
210202401C,2,10,310,C, ,01,DEP,826,Animal and pest control services,Other capital budget request for DEP,Assign capital funds needed for remedial action to address recurring sewer back ups along 10th Avenue from 77th Street to 86th Street. Capital funds MUST be added for new enlarged sewers that will complete the project commenced in FY 2000 (63rd Street to 77 Street). This is now a public health emergency and immediate action is needed as raw sewage backs into homes creating damage during every rain event.,,10 Avenue,Avenue,77 Street,86 Street,,,,8,Further study by the agency of this request is needed.,1235,GEOCODE FAILED
210202401E,2,10,310,E,site,01,OMB,2,"Park, buildings, and access improvements",Other community board facilities and staff requests,"Maintain/Enhance funding to Community Boards - Community Board baseline budgets must be increased to provide broader outreach, address technological needs, and professional planning expertise.",,,"",,,,,,8,"As of the FY 2024 Preliminary Budget, each Community Board's budget is $257,507.",1236,GEOCODE FAILED
218202437C,2,18,318,C, ,37,DPR,846,NYPD staff and training resources,"Reconstruct or upgrade a park or amenity (i.e. playground, outdoor athletic field)","Renovation of McGuire Park/Fields on Bergen Avenue to include a Bocce Court, Pickleball Courts and a Dog Run.",McGuire Park/Fields,,"",,,All Local Elected Officials,All Area Community and Civic Associations,,5,This project has not been funded.,1501,GEOCODE FAILED
210202402C,2,10,310,C,site,02,DPR,846,"Park, buildings, and access improvements",Repair or build new seawalls or bulkheads,Initiate immediate study of Belt Parkway Infrastructure to address possible undermining caused by breaches along nearby Shore Road Promenade and bicycle path. The Belt Parkway is an important thoroughfare and a study should commence to determine if current drainage infrastructure is in need of upgrades.,,,"",,,,,,8,Further study by the agency of this request is needed.,1237,GEOCODE FAILED
210202402E,2,10,310,E, ,02,NYPD,56,Park maintenance and safety,Hire additional uniformed officers,Increase patrol strength at 68th Police Precinct as well as civilian personnel levels.,,,"",,,,,,5,NYPD total staffing levels depend on decisions made in the Preliminary and Executive budget process.  Allocation of uniformed personnel is scheduled by the NYPD only after graduation of Police classes from the Academy. Availability of civilian personnel is limited due to reductions to the civilian headcount.,1238,GEOCODE FAILED
210202413E,2,10,310,E, ,13,DSNY,827,Cultural facilities and resources,Increase enforcement of illegal dumping laws,"CD10 has recurring improper disposal of household waste, commercial waste and construction debris at corner baskets. In addition, improper disposal occurs at many MLP locations including overpasses, pedestrian bridges, park perimeters and along the 62nd Street LIRR Sidewalk border serviced by DSNY. In addition, DSNY enforcement is needed to address stoop line and sidewalk obstruction violations ? after hours on weekends.",,,"",,,,,,1,This program is currently funded and the Department of Sanitation recommends its continued support.,1260,GEOCODE FAILED
210202403C,2,10,310,C,general,03,DPR,846,Street and lot cleaning,"Reconstruct or upgrade a park or amenity (i.e. playground, outdoor athletic field)",Initiate Immediate Engineering Study of Shore Road Promenade/Bicycle Path Infrastructure/ to address serious recurring cave- ins threatening public safety. This study must include complete investigation of the infrastructure of the adjacent Combined Sewer Outfalls to determine source of water breaches. Recurring cave-ins pose an immediate safety risk to bicyclists and pedestrians. The engineering study needs to protect this vital waterfront recreational space as well as protect adjacent Belt Parkway. ($7.6 Million funded),Shore Road Promenade,,"",,,,,,5,Further study by the agency of this request is needed.,1239,GEOCODE FAILED
210202403E,2,10,310,E,site,03,FDNY,57,"Park, buildings, and access improvements",Provide more firefighters or EMS workers,"Maintain personnel funding levels for firefighting and EMS staffing. Funding levels must be sustained to maintain effective firefighting/ EMS services, fire prevention services and to overcome attrition.",,,"",,,,,,8,Further study by the agency of this request is needed.,1240,GEOCODE FAILED
210202404C,2,10,310,C, ,04,DEP,826,Building code and zoning enforcement,Other capital budget request for DEP,"Capital funds are needed to provide remedial action to address recurring sewage backups into residential homes at the following locations in Bay Ridge:

a. Colonial Road from Bay Ridge Parkway to 92 Street

b. Narrows Avenue from 71st Street to 92 Street

c. 81 Street from 4th to 7th Avenues

d. Bay Ridge Parkway from Shore Road to 3rd Avenue

e. 70 Street between Shore Road and Narrows Avenue.",,,"",,,,,,8,Further study by the agency of this request is needed.,1241,GEOCODE FAILED
210202404E,2,10,310,E,street,04,NYPD,56,Transportation infrastructure,Hire additional crossing guards,"?The vacancy rate for school crossing guards is a citywide issue. The 68 Precinct allotment is currently 36 School Crossing Guards and there are 8 vacancies at critical school crossing locations. Additionally, four new schools scheduled to open by September 2023. This year an important School Crossing Guard post was removed at Ovington Avenue at 7th Avenue Southbound, one of eight vacancies, leaving many parents very concerned.",,,"",,,,,,3,"Based on the latest budget, the NYPD has a specific budgeted headcount.  The agency is working on filling vacancies in order to get to that headcount.",1242,GEOCODE FAILED
210202405C,2,10,310,C, ,05,DEP,826,"Library facilities, equipment and programs (BPL)",Other capital budget request for DEP,"Capital funds are needed to provide remedial action to address recurring sewage backups into residential homes at the following locations in Dyker Heights: 

a.	13th Avenue from Bay Ridge Avenue to 79 Street
b.	11th Avenue 62 Street to 72 Streets
c.	12th Avenue from Bay Ridge Avenue to 79 Street",,,"",,,,,,8,Further study by the agency of this request is needed.,1243,GEOCODE FAILED
210202406E,2,10,310,E,site,06,DFTA,125,"Park, buildings, and access improvements",Increase home delivered meals capacity,Increased funding Home Delivered Meal Capacity in Community District 10 ? the number of seniors receiving home delivered meals continues to rise in Community District 10. Currently Bay Ridge Center serves 700 homebound seniors with a minimal waiting list. The senior population in CD10 continues to grow,,,"",,,,,,2,The agency will try to accommodate this issue within existing resources.,1246,GEOCODE FAILED
210202407C,2,10,310,C, ,07,DOT,841,Sewage and flooding,Reconstruct streets,There is one identified street location in Bay Ridge within Community District Ten that may be in need of trench restoration or capital improvement due to recurring street cave-ins and depressions 87th Street between 3rd and 4th Avenue.,,,"",,,,,,3,"Capital funding constraints, project capacity and City-wide priorities preclude this project at this time.",1247,GEOCODE FAILED
210202407E,2,10,310,E, ,07,DPR,846,Park maintenance and safety,"Forestry services, including street tree maintenance","Restore forestry contract appropriations for tree pruning, removal and maintenance including stump removal ?Restored allocations for forestry?s tree maintenance contracts are needed. Years of deferred maintenance of street and park trees as well as disruptions due to the pandemic have created a significant back log. Stump removal is of great concern as larger stumps can take up to 3 years or longer for removal",,,"",,,,,,3,This project has not been funded.,1248,GEOCODE FAILED
210202408C,2,10,310,C, ,08,DPR,846,Animal and pest control services,"Reconstruct or upgrade a park or amenity (i.e. playground, outdoor athletic field)","John Paul Jones Park a/k/a Cannonball Park. The park is enjoyed by young and old. The path and benches have deteriorated and are need in replacement. Also, water service needs to be repaired. There are no operating water fountains. Refurbish to ADA Specifications. Identified as a NYC Parks need $2 Million",Cannonball Park- John Paul Jones Park;,4th Avenue at Shore Road,Avenue at Shore Road,,,,,,5,This project has not been funded.,1249,GEOCODE FAILED
210202408E,2,10,310,E,site,08,DOHMH,816,Environmental protection,Animal and pest control requests including reducing rat and mosquito populations,"Increase Department of Health staffing for rodent inspections and baiting services increased staffing levels for inspection and baiting services for rodent control. During the height of the pandemic, the Department of Health suspended all rodent abatement inspections and baiting. As a result, CD10 experienced a sharp increase of rat sightings and infestations, no longer limited to vacant lots along highways, etc. as in the past. Rat infestations are now reported along large sections of residential blocks, as well as on commercial strips.",,,"",,,,,,3,The agency will try to accommodate this issue within existing resources.,1250,GEOCODE FAILED
210202409C,2,10,310,C,site,09,DPR,846,"Park, buildings, and access improvements","Reconstruct or upgrade a park or amenity (i.e. playground, outdoor athletic field)",Restoration of Shore Road perimeter sidewalks. Reconstruct and rehabilitate hexblock sidewalks along Shore Road Park adjacent to Shore Road from 72nd Street to 84th Street and on 86th Street to 97th Street. Missing hexagon pavement blocks are creating hazardous pedestrian conditions. Identified as a NYC Parks need,Shore Road Park,,"",,,,,,5,This project has not been funded.,1251,GEOCODE FAILED
210202409E,2,10,310,E, ,09,DPR,846,Park programming,Other park maintenance and safety requests,CB10 has zero gardeners to service the entire district's 352.5 acres of parkland. The District Office receives frequent complaints about tall weeds and grass in all sections of the District. At a recent Parks Committee meeting neighbors complained that newly constructed parks and pathways are not being maintained. New projects should include funds for continued maintenance.,,,"",,,,,,5,This would require a larger expense budget.,1252,GEOCODE FAILED
210202410C,2,10,310,C,site,10,DPR,846,"Park, buildings, and access improvements","Reconstruct or upgrade a park or amenity (i.e. playground, outdoor athletic field)","Leif Ericson Park (lower) between 3rd Avenue and Ridge Blvd. 
Neighbors complain of the total disrepair of this portion of the park which has never been refurbished. There are currently only 6 antique light poles and many residents of the Bay Ridge Towers have complained about the crumbling pathways, overgrown conditions and extremely poor lighting. This parkland is underutilized in an area that is in need of additional parkland.",Leif Ericson Park Lower,,"",,,,,,5,This project has not been funded.,1253,GEOCODE FAILED
210202411C,2,10,310,C,general,11,DOT,841,Sanitation Enforcement,Repair or build new step streets,"76th Street Step Street at Colonial Road including landscaping and drainage. This Step Street is in poor condition with minor repairs made but complete restoration is needed. The steps overflow during heavy rains making the step street unsafe to traverse. Additionally, extra lighting is needed for public safety.",,76 Street,76 Street,Colonial Road,Colonial Road,,,,10,Project has been completed; please remove from future Budget Requests.,1255,GEOCODE FAILED
210202411E,2,10,310,E,site,11,DOB,810,"Park, buildings, and access improvements",Address illegal conversions and uses of buildings,Inspectors are needed to address the growing number of illegal conversion complaints in both residential and commercial buildings. Year after year the number of complaints from area residents of single and two-family homes being converted and occupied as SROs and transient housing is on the rise as well as the conversion of commercial properties to uses not permitted under the zoning resolution.,,,"",,,,,,9,The agency will accommodate this issue within existing resources.,1256,GEOCODE FAILED
210202412C,2,10,310,C,site,12,DPR,846,"Park, buildings, and access improvements","Reconstruct or upgrade a park or amenity (i.e. playground, outdoor athletic field)",A new perimeter sidewalk is needed to replace uneven hexblock sidewalk around Leif Ericson Park on Fort Hamilton Parkway/8th Avenue from 66 to 67 Streets. Local seniors and wheel chair users complain about flooding and ponding conditions during rain events. The large number of London Plane tree roots is also lifting sidewalk in sections.,,,"",,,,,,5,This project has not been funded.,1257,GEOCODE FAILED
210202418C,2,10,310,C,site,18,DPR,846,"Park, buildings, and access improvements","Reconstruct or upgrade a park or amenity (i.e. playground, outdoor athletic field)",Complete Rehabilitation of Shore Road Park Field 4 at 95th Street. This field is in poor condition requiring complete refurbishment .,Shore Road Park Field 4,,"",,,,,,5,This project has not been funded.,1269,GEOCODE FAILED
210202418E,2,10,310,E,site,18,DSNY,827,"Park, buildings, and access improvements",Increase enforcement of canine waste laws,Frequent complaints are received by the District Office regarding canine waste. It is a quality of life issue that frustrates residents concerned about street cleanliness.,,,"",,,,,,1,This program is currently funded and the Department of Sanitation recommends its continued support.,1270,GEOCODE FAILED
210202412E,2,10,310,E, ,12,BPL,38,Park maintenance and safety,Extend library hours or expand and enhance library programs (BPL),Increase funding to keep library branches open additional hours within the boundaries of Community District 10 and purchase additional computers and books. Working people and students need access to libraries when the work/school day ends. Weekend hours are essential,,,"",,,,,,3,"BPL supports this project as requested by the community board.  However, City funded financial support is necessary to undertake this project.",1258,GEOCODE FAILED
210202414C,2,10,310,C, ,14,DEP,826,"Park, buildings, and access improvements","Evaluate a public location or property for green infrastructure, e.g. rain gardens, stormwater greenstreets, green playgrounds","Narrows Botanic Gardens, an all volunteer organization, requested the Department of Environmental Protection establish an Oyster Garden alongside shoreline adjacent to Owls Head Wastewater Treatment Facility.",,,"",,,Narrows Botanic Gardens,,,8,Further study by the agency of this request is needed.,1261,GEOCODE FAILED
210202414E,2,10,310,E, ,14,DPR,846,Consumer and worker protection,Other park maintenance and safety requests,Increase personnel to keep park restrooms open beyond 3pm. Many parents and children utilize the parks after 3:00pm. Facilities need to be available for use. Many field permits extend beyond 3pm and require access to restroom facilities.,,,"",,,,,,5,This would require a larger expense budget.,1262,GEOCODE FAILED
210202415C,2,10,310,C,street,15,DEP,826,Environmental protection,Other capital budget request for DEP,"Community Board Ten advocates for additional capital improvement investments to modernize the Owls Head Wastewater Treatment Plant. Currently, this plant provides treatment for 120 million gallons of primarily residential wastewater per day. It is important that to residents that odors are kept under control and compliant with New York State DEC Consent Order.",Owls Head Wastewater Treatment;,6700 Shore Road,Shore Road,,,,,,9,This project is included in the ten-year plan.,1263,GEOCODE FAILED
210202415E,2,10,310,E, ,15,DOHMH,816,"Park, buildings, and access improvements",Animal and pest control requests including reducing rat and mosquito populations,"Reduce mosquito populations ? funding for mosquito control ? areas of high mosquito concentration to curtail spread of West Nile Virus. 

Rat complaints at local parks has reached levels of unprecedented infestation.",,,"",,,,,,3,DOHMH continues to increase the number of inspections performed annually.  We also continue to respond to all 311 complaints and readily participate in walk-through events requested by the community in areas of concern.  Feel free to contact us to request a walk-through.  Additional services would be contingent upon available resources.,1264,GEOCODE FAILED
210202416C,2,10,310,C,site,16,DPR,846,"Park, buildings, and access improvements","Reconstruct or upgrade a park or amenity (i.e. playground, outdoor athletic field)",New perimeter sidewalk around the Dyker Beach Park/Golf Course. The sidewalk area is heavily utilized by pedestrians and cyclists as a form of recreational exercise. The perimeter sidewalk is hazardous/uneven in many areas and should also be widened in certain sections for pedestrian safety.,Dyker Beach Park,,"",,,,,,3,This project has not been funded.,1265,GEOCODE FAILED
210202416E,2,10,310,E,site,16,DPR,846,"Park, buildings, and access improvements",Provide more programs in parks or recreational centers,"Funds to support six playground associates who will provide maintenance and recreational programs at McKinley Park; Dyker Beach Park; Shore Road Park at 79 Street; JJ Carty Park, Owls Head Skate Park and Leif Ericson Park",,,"",,,,,,3,This would require a larger expense budget.,1266,GEOCODE FAILED
210202417C,2,10,310,C,site,17,DPR,846,"Park, buildings, and access improvements","Reconstruct or upgrade a park or amenity (i.e. playground, outdoor athletic field)",Request: Rehabilitate 3 remaining ball fields at Dyker Beach Park. Explanation: The fields need to be rehabiitated as they are in total disrepair. Refurbish to ADA specifications. Identified as NYC Parks Need ($11 Million),Dyker Beach Park,,"",,,,,,5,This project has not been funded.,1267,GEOCODE FAILED
210202417E,2,10,310,E,site,17,DPR,846,"Park, buildings, and access improvements",Other park maintenance and safety requests,Increase PS funding allocations to hire additional headcount for maintenance operation staff to do rodent abatement. Shore Road Park and Dyker Beach Park are infested with rat burrows. It is important to note that Shore Road Park in CD10 is not listed as an option in 311 and the park has received hundreds of calls over the last few months of rat infestation from Narrows Botanic Garden to 79th Street. Additional personnel is needed to address the neglected parkland in the district due to the deferred maintenance in recent years. At least ten additional maintenance personnel are needed within Community District 10.,,,"",,,,,,5,This would require a larger expense budget.,1268,GEOCODE FAILED
210202419E,2,10,310,E,site,19,DPR,846,"Park, buildings, and access improvements",Enhance park safety through more security staff (police or parks enforcement),"Increase headcount to expand parks enforcement patrols and security services. Additional parks enforcement personnel are needed to patrol the numerous parks throughout District 10 for vandalism, traffic violations, dog litter violations, barbequing in non designated areas, illegal vending, using permitted fields without a permit and related violations to parks regulations.",,,"",,,,,,5,This would require a larger expense budget.,1272,GEOCODE FAILED
210202422C,2,10,310,C, ,22,DEP,826,Park maintenance and safety,Other capital budget request for DEP,Request to initiate study of Combined Sewer Outfalls (CSOs) Infrastructure inspection along the Shore Road Promenade from the 69th Street Pier to Bay 8th Street to determine if upgrades are needed in wake of Superstorm Sandy. Functionality of these CSOs is critical to the maintenance of the Shore Road Promenade and water quality in Upper New York Bay.,,Shore Road Promenade,Shore Road,Bay Ridge Avenue,Bay Ridge Avenue,,,,8,Further study by the agency of this request is needed.,1274,GEOCODE FAILED
210202423C,2,10,310,C,site,23,DPR,846,"Park, buildings, and access improvements","Reconstruct or upgrade a park or amenity (i.e. playground, outdoor athletic field)",New comfort station at Shore Road Park at 101 Street - demo of existing building in poor condition. Identified as NYC Parks Need.,,,"",,,,,,5,This project has not been funded.,1275,GEOCODE FAILED
210202424C,2,10,310,C, ,24,DPR,846,Park maintenance and safety,"Reconstruct or upgrade a park or amenity (i.e. playground, outdoor athletic field)","Complete Refurbishment of comfort station at Shore Road Park (79th Street) ?including new plumbing fixtures, lighting, tile, and baby changing station",Shore Road Park;,Shore Road at 79th Street,Shore Road at 79th Street,,,,,,5,This project has not been funded.,1276,GEOCODE FAILED
408202414C,4,08,408,C, ,14,DOE,40,After school programs,Provide technology upgrade,Upgrade electrical wiring to 220 to support electrical needs of smart boards and air conditioners for P.S. 173.,Public School 173,,"",,,,,,6,Unable to prioritize funding for this project request at this time.,3252,GEOCODE FAILED
210202427C,2,10,310,C,site,27,DPR,846,"Library facilities, equipment and programs (BPL)",Reconstruct or upgrade a building in a park,"Complete Refurbishment of comfort station Dyker Beach Park at Bay 8th Street ?including new plumbing fixtures, lighting, tile, and baby changing station",Dyker Beach Park;,Bay 8th Street,8th Street,,,,,,5,This project has not been funded.,1279,GEOCODE FAILED
210202428C,2,10,310,C, ,28,DPR,846,Transportation infrastructure,"Reconstruct or upgrade a park or amenity (i.e. playground, outdoor athletic field)",Complete Refurbishment of Russell Pedersen Playground ? Colonial Road from 83rd Street to 85th Street ? Reconstruct Handball and Basketball courts on southern side of site. Identified by NYC parks as a need ($2 million),Russell Pedersen Playground;,Colonial Road from 83 to 85 Street,Colonial Road to 85 Street,,,,,,2,Project is partially funded.,1280,GEOCODE FAILED
210202429C,2,10,310,C, ,29,DPR,846,NYPD staff and training resources,"Reconstruct or upgrade a park or amenity (i.e. playground, outdoor athletic field)","Complete refurbishment of Leif Ericson Park between 5th and 6th Avenues including play equipment, water fountains and infrastructure to ADA specifications.",Leif Ericson Park;,Between 5th and 6th Avenues,Between 5th and 6th Avenues,,,,,,5,This project has not been funded.,1281,GEOCODE FAILED
210202430C,2,10,310,C,street,30,DPR,846,"Park, buildings, and access improvements","Reconstruct or upgrade a park or amenity (i.e. playground, outdoor athletic field)",Complete Rehabilitation of Shore Road Park Field 3 at 79th Street. This field in in poor condition and requires a complete refurbishment.,Shore Road Park Field 3;,at 79th Street,79th Street,,,,,,5,This project has not been funded.,1282,GEOCODE FAILED
210202439C,2,10,310,C, ,39,DOT,841,Services for vulnerable New Yorkers,Other capital budget request for DOT,District Wide Curb Contract ? there is a need for a curb contract as there has not been one to replace broken curbs on local streets in Community District 10 in decades.,,,"",,,,,,6,"Funds are unavailable for this project.  We recommend this project be brought to the attention of your elected officials, i.e. Borough President, Council/Assemblymember, or State Senator.",1291,GEOCODE FAILED
210202431C,2,10,310,C, ,31,DPR,846,FDNY programs and staffing,"Reconstruct or upgrade a park or amenity (i.e. playground, outdoor athletic field)","Complete Refurbishment of Dyker Beach Park Playground at Bay 8th Street between Poly Place, Cropsey Avenue and Shore Parkway - including play equipment, water fountains, sprinklers and infrastructure. Refurbish to ADA specifications. Identified as NYC Parks Need estimate Phase 1 ($6 million) for 4 handball courts, new skate area, reconstruct 3 Basketball courts, add fencing, bottle filler for drinking, seating, benches and sidewalks ? Phase 2 Playground complete reconstruction (estimate at $6 million)",Dyker Beach Park Playground;,"Bay 8th Street between Poly Place, Cropsey Avenue and Shore Parkway",8th Street,,,,,,5,This project has not been funded.,1283,GEOCODE FAILED
211202404C,2,11,311,C, ,04,DEP,826,Environmental protection,Other capital budget request for DEP,"Fund study and planning to address possible faults of Regulator 9A. Strong sewer odors are escaping the vault, which are permeating the Bath Beach community.",,Bay 16 Street,Bay 16 Street,Bath Avenue,Bath Avenue,,,,8,Further study by the agency of this request is needed.,1295,GEOCODE FAILED
210202432C,2,10,310,C,street,32,DPR,846,"Park, buildings, and access improvements","Reconstruct or upgrade a park or amenity (i.e. playground, outdoor athletic field)","Complete Refurbishment of Dyker Beach Park Playground 14th Avenue at 86th Street - including play equipment, water fountains, sprinklers and infrastructure. Refurbish to ADA specifications.",Dyker Beach Park Playground;,14th Avenue at 86th Street,Avenue at 86th Street,,,,,,5,This project has not been funded.,1284,GEOCODE FAILED
218202438C,2,18,318,C, ,38,DPR,846,Senior center programs,Other capital budget request,Construct a Canarsie Community Center at the old Canarsie Movie Theatre located at 9310 Avenue L or site next to the 69th Police Precinct.,,,"",,,All Local Elected Officials,All Area Community and Civic Associations,,6,This is not in the City's budget jurisdiction.  Contact OMB's Community Board Unit.,1502,GEOCODE FAILED
210202433C,2,10,310,C,street,33,DPR,846,Environmental protection,Other park maintenance and safety requests,Native Planting along Shore Road Promenade and adjacent Belt Parkway Arterial Highway Area (Submitted by Narrows Botanical Gardens) The refurbishment of the terrain adjacent to the Belt Parkway and highway area adjacent to the Shore Road Promenade requires regular maintenance. Native plants are beneficial to the area?s ecosystem by attracting native insects including butterflies while significantly reducing the need for routine maintenance.,,,"",,,Narrows Botanic Gardens,,,5,This would require a larger expense budget.,1285,GEOCODE FAILED
210202434C,2,10,310,C, ,34,DPR,846,Zoning and land use,Reconstruct or upgrade a building in a park,Comfort Station at Russell Pedersen Playground is in need of complete refurbishment.,Russell Pedersen Playground,,"",,,,,,5,This project has not been funded.,1286,GEOCODE FAILED
210202435C,2,10,310,C, ,35,DPR,846,Garbage collection and recycling,New equipment for maintenance,"Solar Lighting for Shore Road Bicycle Path and Promenade ? submitted by Bay Ridge Cares. The Promenade is used by thousands of people. In the past, the thought of installing lighting along the path required electricity, but with the advances in solar lighting, we believe that this can now be accomplished at a fraction of the cost of conventional lighting. Lighting would increase the usage at night and provide a layer of safety to those who use the path in the evenings, especially runners and cyclists who cannot see obstacles or damage to the pathway.",,,"",,,,,,3,Lights are serviced by DOT.,1287,GEOCODE FAILED
210202436C,2,10,310,C,street,36,DPR,846,Environmental protection,"Reconstruct or upgrade a park or amenity (i.e. playground, outdoor athletic field)","Dyker Beach Park ? Reconstruct Mosomillo Memorial Basketball Courts, including Lexan backboards and seating area (NYC Parks Needs Assessment)",,,"",,,,,,1,This project was funded in a prior fiscal year and the construction contract has been let.,1288,GEOCODE FAILED
210202437C,2,10,310,C, ,37,DPR,846,Street and lot cleaning,Other street trees and forestry services requests,District Wide Tree and Sidewalk Contract ? the tree and sidewalk contractor assigned to CB10 locations in need of sidewalk replacement caused by tree roots defaulted this year leaving many who were on the waiting list for years without a time frame for repairs.,,,"",,,,,,3,This project has not been funded.,1289,GEOCODE FAILED
210202438C,2,10,310,C,street,38,BPL,38,Transportation infrastructure,"Create a new, or renovate or upgrade an existing public library (BPL)","Dyker Branch of BPL - Capital funds for exterior and Interior renovation improvements, including exterior and windows and interior renovation.",Dyker Branch BPL;,"8202 13 Avenue, Brooklyn, New York, NY",13 Avenue,,,,,,3,"BPL supports this project as requested by the community board.  However, City funded financial support is necessary to undertake this project.",1290,GEOCODE FAILED
211202401C,2,11,311,C,street,01,DPR,846,Environmental protection,"Reconstruct or upgrade a park or amenity (i.e. playground, outdoor athletic field)",Initiate study and planning for long term coastal protections due to tidal surge and wave action on the Shore Parkway Promenade from Bay 8th Street across Bay Parkway This area from Bay Parkway to Bay 8th Street floods during high tides and storms. Infrastructure needs to be protected as well as evacuation routes.,,Shore Parkway Promenade,Shore Parkway,Bay Parkway,Bay Parkway,,,,8,Further study by the agency of this request is needed.,1292,GEOCODE FAILED
211202403E,2,11,311,E, ,03,DCP,30,Street trees and forestry services,Other zoning and land use requests,"Initiate comprehensive review of the district to assess the need for additional core services. With increased as-of-right development and population, data is needed to determine if our infrastructure and core services can support additional population growth.",,,"",,,,,,7,More information is needed from the community board before making a decision. The community board should contact the DCP Borough Office,1294,GEOCODE FAILED
211202405C,2,11,311,C, ,05,DOT,841,Sanitation Enforcement,Install streetscape improvements,"New Utrecht Avenue within the confines of Community Board 11 is a wholly commercially zoned corridor located under the elevated train. This segment is in need of reconstruction, which includes additional security lighting, benches, bike racks and resurfacing of the existing cement roadway.",,New Utrecht Avenue,Utrecht Avenue,86th Street,86th Street,,,,2,This project is included in the ten-year plan.,1297,GEOCODE FAILED
403202429E,4,03,403,E, ,29,DPR,846,FDNY facilities and equipment,Other expense budget request for DPR,Provide a more accessible independent electrical source at the performance area/stage in Travers Park,Travers Park,,"",,,,,,3,Parks will explore the viability of potential sites in your district for deployment with our WiFi partners.,2954,GEOCODE FAILED
211202406C,2,11,311,C, ,06,DEP,826,Park maintenance and safety,Other capital budget request for DEP,"Bay Parkway between Bath Avenue and 86th Street has multiple cave-ins, raised manholes and the center of the roadway is depressed. This location may be in need of a trench restoration project; however, this location needs to be identified and prioritized to address roadway conditions.",,Bay Parkway,Bay Parkway,Bath Avenue,Bath Avenue,,,,10,This request should be referred to DOT for investigation,1299,GEOCODE FAILED
211202406E,2,11,311,E,site,06,HRA,96,"Park, buildings, and access improvements","Expand, or enhance Emergency Food Assistance Program (EFAP)",COVID-19 has exposed the need for additional food and the financial needs of our local food pantries.,,,"",,,,,,9,HRA continues to maintain funding for EFAP. During the COVIDpandemic funds have been added to the budget to purchase additional food.,1300,GEOCODE FAILED
211202407C,2,11,311,C, ,07,DEP,826,Affordable housing programs,Other capital budget request for DEP,"The area bounded by Shore Parkway to Benson Avenue and Bay Parkway to 26th Avenue, following Hurricane Sandy has experienced street flooding during heavy rains. A study should be initiated to determine the cause of this new issue.",,,"",,,,,,9,This project is included in the ten-year plan.,1301,GEOCODE FAILED
